name,institute
软件工程,计算机科学与技术学院
计算机科学与技术,计算机科学与技术学院
保密技术,计算机科学与技术学院
保密管理,计算机科学与技术学院
信息安全,计算机科学与技术学院
人工智能,计算机科学与技术学院
数据科学与大数据技术,计算机科学与技术学院
英语,外国语言文学学院
俄语,外国语言文学学院
德语,外国语言文学学院
法语,外国语言文学学院
日语,外国语言文学学院
翻译,外国语言文学学院
朝鲜语,外国语言文学学院
西班牙语,外国语言文学学院
新闻学,新闻学院
广播电视学,新闻学院
广告学,新闻学院
传播学,新闻学院
经济学,经济学院
国际经济与贸易,经济学院
数理经济,经济学院
财政学,经济学院
金融学,经济学院
保险学,经济学院
法学,法学院
管理科学,管理学院
电子商务,管理学院
工商管理,管理学院
市场营销,管理学院
财务管理,管理学院
会计学,管理学院
统计学,管理学院
预防医学,公共卫生学院
公共事业管理,公共卫生学院
马克思主义理论,马克思主义学院
数学与应用数学,数学科学学院
信息与计算数学,数学科学学院
生物科学,生命科学学院
生物技术,生命科学学院
生态学,生命科学学院
